ID,Expediente Nº,Año,Localidad,Elementos
8968,4439,2010,ESQUEL,"2 maquinas de coser, 2 nebulizadores ultrasonicos"
8969,4651,2010,COMODORO RIVADAVIA,1 equipo de sonido
8977,1566,2010,TRELEW,1 IMPRESORA LEXMARK Z1420
8982,1963,2010,28 DE JULIO,2 impresoras
9001,1599,2010,TRELEW,1 fotocopiadora
9002,1599,2010,TRELEW,1 impresora
9005,4442,2010,PUERTO PIRAMIDES,"1 batidora manual, 1 picadora de carne, 1 microondas"
9006,1963,2010,28 DE JULIO,5 PC
9011,1599,2010,TRELEW, 1 PC
9015,4040,2010,TRELEW,1 maquina de coser
9024,4109,2010,TRELEW,10 PC
9025,4109,2010,TRELEW,2 impresoras
9068,866,2010,COMODORO RIVADAVIA,5 radiograbadores
9071,866,2010,COMODORO RIVADAVIA,1 impresora
9127,866,2010,COMODORO RIVADAVIA,3 PC
9138,865,2010,CUSHAMEN,2 impresoras
8546,134,2011,RAWSON,1 heladera c/freezer
8548,153,2011,EL HOYO,"2 TV 29"""
8549,161,2011,TREVELIN,"1 cocina industrial, 2 heladeras c/freezer"
8571,263,2011,RAWSON,5 carpas canadienses
8626,377,2011,COMODORO RIVADAVIA,1 aire acondicionado
8632,107,2011,TRELEW,"2 juegos de camisetas, pantalones y medias, 5 peltas de futbol"
8634,377,2011,RADA TILLY,1 aire acondicionado
8635,613,2011,CHOLILA,1 fotocopiadora -
8636,613,2011,CHOLILA,1 televisores
8637,613,2011,CHOLILA,1 dvd
8638,614,2011,CHOLILA,1 equipo de sonido
8639,618,2011,CHOLILA,1 motosierra - 1 cortadora de fiambre - 1 freezer
8640,616,2011,CHOLILA,2 biombios - 2 aspiradores - 2 nebulizadores - 1 tabla rígida - 1 balanza - 1 carro - 4 camas ortopédicas - 4 colchones - 4 almohadas - 2 colchones inflables - 4 mesas de luz
8641,616,2011,CHOLILA,1 Televisor
8642,371,2011,COMODORO RIVADAVIA,4 camas cuchetas - 8 colchones
8643,371,2011,ESQUEL,5 camas cuchetas - 10 colchones - 1 mesa - 6 sillas
8644,607,2011,CHOLILA,1 IMPRESORA
8645,607,2011,CHOLILA,1 VIDEOPROYECTOR
8646,607,2011,CHOLILA,1 PC
8647,611,2011,CHOLILA," 1 tv 29"""
8648,611,2011,CHOLILA,1 cocina ind. - 1 cafetera - 1 tostadora
8649,612,2011,CHOLILA,1 VIDEOPROYECTOR - 1 EQUIPO DE SONIDO - 5 COLCHONETAS
8650,617,2011,CHOLILA,1 FAX
8651,617,2011,CHOLILA,1 PC
8652,610,2011,CHOLILA,1 FAX
8653,610,2011,CHOLILA,1 FOTOCOPIADORA
8654,610,2011,CHOLILA,1 IMPRESORA
8655,370,2011,CHOLILA,1 lavarropas - 1 maquina de planchar a vapor
8656,609,2011,LAGO RIVADAVIA,1 DVD
8657,609,2011,LAGO RIVADAVIA,2 COLCHONES
8658,608,2011,CHOLILA,1 VIDEOPROYECTOR - 1 PASTALINDA
8659,608,2011,CHOLILA,3 COLCHONES
8661,476,2011,CUSHAMEN,1 micrófono - 1 minicomponente
8662,476,2011,CUSHAMEN,3 pc
8664,428,2011,CUSHAMEN,3 camas cuchetas - 6 colchones - 6 almohadas - 12 juegos de sábanas -  12 juegos de frazadas - 2 placares - 1 mesa - 6 sillas - 1 modular - 1 radiograbador
8665,428,2011,CUSHAMEN,1 cama 2 plazas con colchón - 1 cucheta c/cochon - 4 almohadas - 2 sábanas de 2 plazas - 2 frazadas de 2 plazas - 4 juegos de sábanas - 4 frazadas - 1 placard - 1 mesa grande - 6 sillas - 1 modular - 1 radiograbador
8668,595,2011,RAWSON,1 picadora de carne
8669,333,2011,RAWSON,2 motosierras
8674,271,2011,RAWSON,1 impresora
8675,271,2011,RAWSON,2 PC
8677,247,2011,RAWSON,1 freezer
8678,261,2011,RAWSON,1 PC
8679,261,2011,RAWSON,1 fotocopiadora
8680,261,2011,RAWSON,1 impresora
8683,262,2011,RAWSON,1 PC
8684,262,2011,RAWSON,1 impresora
8685,256,2011,RAWSON,"1 TV 29"""
8686,463,2011,LOS ALTARES,10 Bicicletas
8687,273,2011,RAWSON,1 freezer
8700,260,2011,RAWSON,1 videoproyector
8701,311,2011,GUALJAINA,"1 camara digital, 1 PC, 1 notebook"
8712,431,2011,RAWSON,1 overlock
8715,246,2011,RAWSON,vajilla varia
8716,274,2011,RAWSON,2 notebooks con bolso
8717,274,2011,RAWSON,1 impresora
8718,277,2011,RAWSON,1 minicomponente con micrófono
8719,245,2011,RAWSON,1 minicomponente c/microfono
8720,245,2011,RAWSON,1 TV 29
8722,333,2011,TREVELIN,2 motosierras
8723,595,2011,TREVELIN,1 picadora de carne
8724,432,2011,TRELEW,1 notebook
8725,244,2011,RAWSON,"15 caballetes, 50 sillas plasticas"
8732,433,2011,TRELEW,1 notebook
8733,369,2011,TRELEW,1 notebook
8734,356,2011,TRELEW,1 fotocopiadora
8735,356,2011,TRELEW,1 heladera c/freezer
8736,837,2011,RAWSON,1 fotocopiadora
8737,833,2011,RAWSON,1 equipo de sonido
8738,852,2011,ALTO RIO SENGUER,45 bicicletas
8739,838,2011,RAWSON,1 videoproyector
8740,255,2011,RAWSON, 1 minicomponente c/microfono
8741,255,2011,RAWSON,1 termotanque
8742,835,2011,RAWSON,1 fotocopiadora
8743,831,2011,RAWSON,1 videoproyector
8744,836,2011,RAWSON,1 DVD
8745,836,2011,RAWSON,"1 TV de 29"""
8746,848,2011,RAWSON,1 fotocopiadora
8747,834,2011,RAWSON,1 videoproyector
8748,841,2011,RAWSON,1 Videoproyector
8749,849,2011,RAWSON,1 videoproyector
8750,244,2011,RAWSON,5 mesas de melamina
8751,258,2011,RAWSON,"5 mesas de melamina, 15 caballetes, 50 sillas plasticas"
8754,272,2011,RAWSON,"1 heladera c/freezer, 1 Tv 29"""
8755,247,2011,RAWSON,Vajilla para 50 pax
8756,239,2011,RAWSON,"1 freezer, 5 mesas de melamina, 50 sillas"
8757,370,2011,CHOLILA,1 maquina amasadora
8758,266,2011,RAWSON,1 DVD
8759,266,2011,RAWSON,"1 TV 29"""
8760,247,2011,RAWSON,Vajilla para 50 pax
8762,446,2011,EPUYEN,2 minicomponentes c/microfono
8763,446,2011,EPUYEN,"1 lavarropas automatico, 1 multiprocesadora, 1 plancha a vapor, 1 aspiradora, 1 heladera c/freezer"
8766,371,2011,CHOLILA,"5 cuchetas, 10 colchones, 1 mesa, 6 sillas"
8769,444,2011,PTO MADRYN,"1 overlock, 100 sillas plasticas apilables, 1 freezer, 4 maquinas de coser, 1 impresora, 1 PC"
8770,278,2011,RAWSON,1 cocina industrial
8771,243,2011,RAWSON,3 maquinas de coser
